
New|1971-1|00000129.txt
York|1971-1|00000129.txt
Campus|1971-1|00000129.txt
Center|1971-1|00000129.txt
Patroon|1971-1|00000129.txt
Lounge|1971-1|00000129.txt
Europe|1971-1|00000129.txt
Asia|1971-1|00000129.txt
Africa|1971-1|00000129.txt
Campus|1971-1|00000129.txt
Center|1971-1|00000129.txt
Campus|1971-1|00000129.txt
Center|1971-1|00000129.txt
Texas|1971-1|00000129.txt
Guadalajara|1971-1|00000129.txt
CIDOC|1971-1|00000129.txt
Cuernavaca|1971-1|00000129.txt
Mexico|1971-1|00000129.txt
Albany|1971-1|00000129.txt
France|1971-1|00000129.txt
New|1971-1|00000129.txt
York|1971-1|00000129.txt
Buffalo|1971-1|00000129.txt
Crosby|1971-1|00000129.txt
Hall|1971-1|00000129.txt
Capitol|1971-1|00000129.txt
Albany|1971-1|00000129.txt
US|1971-1|00000046.txt
United|1971-1|00000046.txt
States|1971-1|00000046.txt
New|1971-1|00000046.txt
York|1971-1|00000046.txt
State|1971-1|00000046.txt
Albany|1971-1|00000046.txt
BUFFALO|1971-1|00000046.txt
Erie|1971-1|00000046.txt
County|1971-1|00000046.txt
US|1971-1|00000046.txt
New|1971-1|00000046.txt
York|1971-1|00000046.txt
New|1971-1|00000046.txt
York|1971-1|00000046.txt
Albany|1971-1|00000046.txt
Vol|1971-1|00000046.txt
Buffalo|1971-1|00000046.txt
Albany|1971-1|00000116.txt
Maui|1971-1|00000116.txt
York|1971-1|00000116.txt
City|1971-1|00000116.txt
New|1971-1|00000116.txt
York|1971-1|00000116.txt
City|1971-1|00000116.txt
US|1971-1|00000116.txt
Madison|1971-1|00000116.txt
Avenue|1971-1|00000116.txt
New|1971-1|00000116.txt
York|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Albany|1971-1|00000116.txt
State|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
New|1971-1|00000116.txt
Lande|1971-1|00000116.txt
Woodstock|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Stony|1971-1|00000116.txt
Brook|1971-1|00000116.txt
Long|1971-1|00000116.txt
Island|1971-1|00000116.txt
Stony|1971-1|00000116.txt
Brook|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Colorado|1971-1|00000116.txt
Montana|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
US|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
America|1971-1|00000116.txt
United|1971-1|00000116.txt
States|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Laramie|1971-1|00000116.txt
Wyoming|1971-1|00000116.txt
Stony|1971-1|00000116.txt
Brook|1971-1|00000116.txt
Albany|1971-1|00000116.txt
WASHINGTON|1971-1|00000116.txt
RA|1971-1|00000116.txt
Melville|1971-1|00000116.txt
Melville|1971-1|00000116.txt
-|1971-1|00000116.txt
Steinmetz|1971-1|00000116.txt
Albany|1971-1|00000116.txt
ALBANY|1971-1|00000137.txt
USSR|1971-1|00000137.txt
Buffalo|1971-1|00000137.txt
Purina|1971-1|00000137.txt
Buffalo|1971-1|00000137.txt
Manchester|1971-1|00000137.txt
England|1971-1|00000137.txt
Campus|1971-1|00000137.txt
Center|1971-1|00000137.txt
Lebanon|1971-1|00000137.txt
Ainlnr|1971-1|00000137.txt
New|1971-1|00000137.txt
York|1971-1|00000137.txt
New|1971-1|00000137.txt
York|1971-1|00000137.txt
Buffalo|1971-1|00000137.txt
Salamancn|1971-1|00000137.txt
Spain|1971-1|00000137.txt
Buffalo|1971-1|00000137.txt
Spnriish|1971-1|00000137.txt
Buffalo|1971-1|00000137.txt
Buffalo|1971-1|00000137.txt
New|1971-1|00000137.txt
York|1971-1|00000137.txt
Crease|1971-1|00000137.txt
Guadalajara|1971-1|00000137.txt
CIDOC|1971-1|00000137.txt
Cuernavaca|1971-1|00000137.txt
Mexico|1971-1|00000137.txt
Madison|1971-1|00000137.txt
Auburn|1971-1|00000137.txt
State|1971-1|00000137.txt
Prison|1971-1|00000137.txt
ALBANY|1971-1|00000137.txt
Brillqu|1971-1|00000137.txt
HAWAII|1971-1|00000137.txt
CALIFORNIA|1971-1|00000137.txt
Waterloo|1971-1|00000137.txt
Place|1971-1|00000137.txt
Far|1971-1|00000137.txt
Rocka|1971-1|00000137.txt
Waterloo|1971-1|00000137.txt
Place|1971-1|00000137.txt
Rockaway|1971-1|00000137.txt
West|1971-1|00000137.txt
Po|1971-1|00000137.txt
ALASKA|1971-1|00000137.txt
Stri|1971-1|00000137.txt
Toronto|1971-1|00000137.txt
SUNYA|1971-1|00000137.txt
Washington|1971-1|00000137.txt
Avenue|1971-1|00000137.txt
Albany|1971-1|00000137.txt
New|1971-1|00000137.txt
York|1971-1|00000137.txt
Washington|1971-1|00000137.txt
